Claims_Processed,Daily_Budget_Per_Branch,Sync_Interval,Global_Cumulative_Regret,Global_Regret_Bandit,Global_Regret_KnapsackCapacity,Global_Regret_Knapsack,Global_Utility_Saved,Global_Frauds_Caught,Global_Missed_Frauds,Global_Audits_Done,Global_Hit_Rate_%,Branch_601_Audits,Branch_601_Caught,Branch_601_ShadowPrice,Branch_601_Regret,Branch_601_RegretBandit,Branch_601_RegretKnapsackCapacity,Branch_601_RegretKnapsack,Branch_1301_Audits,Branch_1301_Caught,Branch_1301_ShadowPrice,Branch_1301_Regret,Branch_1301_RegretBandit,Branch_1301_RegretKnapsackCapacity,Branch_1301_RegretKnapsack,Branch_1108_Audits,Branch_1108_Caught,Branch_1108_ShadowPrice,Branch_1108_Regret,Branch_1108_RegretBandit,Branch_1108_RegretKnapsackCapacity,Branch_1108_RegretKnapsack
250,500,250,112.13701140558943,112.13701140558943,0.0,14.0,120.0,111,14,224,49.55,64,42,1.2789,21.41586979870399,21.41586979870399,0.0,7.0,75,35,1.5427,35.45363181126532,35.45363181126532,0.0,3.0,85,34,1.7732,55.267509795620136,55.267509795620136,0.0,4.0
500,500,250,287.63923236625,287.63923236625,0.0,38.0,238.0,221,32,413,53.51,136,85,2.0093,80.45630882177083,80.45630882177083,0.0,15.0,138,75,2.0707,86.4395117818318,86.4395117818318,0.0,10.0,139,61,2.0577,120.74341176264714,120.74341176264714,0.0,13.0
750,500,250,464.10050837154574,464.10050837154574,0.0,67.0,365.0,331,50,602,54.98,208,136,1.3015,129.78202677221822,129.78202677221822,0.0,24.0,203,111,1.451,156.0668609298813,156.0668609298813,0.0,26.0,191,84,1.4849,178.2516206694457,178.2516206694457,0.0,17.0
1000,500,250,508.57575253304753,508.57575253304753,0.0,72.0,526.0,452,55,835,54.13,297,191,0.0,139.21874859872474,139.21874859872474,0.0,25.0,276,144,0.0,170.86881656217815,170.86881656217815,0.0,29.0,262,117,0.0,198.4881873721443,198.4881873721443,0.0,18.0
1250,500,250,607.4304736675023,607.4304736675023,0.0,78.0,687.0,592,59,1072,55.22,381,247,1.8885,172.04582267978574,172.04582267978574,0.0,26.0,349,187,1.5868,198.94716724393336,198.94716724393336,0.0,34.0,342,158,1.7872,236.43748374378333,236.43748374378333,0.0,18.0
1500,500,250,794.8379246879788,794.8379246879788,0.0,97.0,819.0,714,76,1271,56.18,451,297,2.5746,228.2591017383674,228.2591017383674,0.0,36.0,414,226,2.4387,257.47986192378534,257.47986192378534,0.0,39.0,406,191,2.4113,309.09896102582576,309.09896102582576,0.0,22.0
1750,500,250,1011.4967830921681,1011.4967830921681,0.0,125.0,935.0,810,100,1453,55.75,516,336,2.2753,303.03883291539904,303.03883291539904,0.0,45.0,476,260,1.755,328.41836856174,328.41836856174,0.0,48.0,461,214,1.336,380.0395816150288,380.0395816150288,0.0,32.0
2000,500,250,1079.2769386167888,1079.2769386167888,0.0,130.0,1090.0,937,105,1687,55.54,594,388,0.0,323.3388105649573,323.3388105649573,0.0,48.0,550,295,0.0,357.7818445666174,357.7818445666174,0.0,48.0,543,254,0.0,398.1562834852131,398.1562834852131,0.0,34.0
2250,500,250,1185.848201976621,1185.848201976621,0.0,137.0,1219.0,1047,112,1912,54.76,679,434,1.8563,366.3197455853039,366.3197455853039,0.0,51.0,627,332,1.58,398.7146742624201,398.7146742624201,0.0,52.0,606,281,1.2312,420.81378212889496,420.81378212889496,0.0,34.0
2500,500,250,1418.5217990384026,1418.5217990384026,0.0,162.0,1344.0,1149,128,2118,54.25,743,472,2.6304,433.082842480295,433.082842480295,0.0,57.0,694,363,2.4208,477.51495978727957,477.51495978727957,0.0,56.0,681,314,2.0593,507.92399677082403,507.92399677082403,0.0,49.0
