Claims_Processed,Reference_Budget,Sync_Interval,Global_Regret_Bandit,Global_Utility_Saved,Global_Frauds_Caught,Global_Missed_Frauds,Global_Audits_Done,Global_Hit_Rate_%,Budget_Overrun,Branch_601_Audits,Branch_601_Caught,Branch_601_RegretBandit,Branch_1301_Audits,Branch_1301_Caught,Branch_1301_RegretBandit,Branch_1108_Audits,Branch_1108_Caught,Branch_1108_RegretBandit
250,15000,250,122.0,128.0,119,6,235,50.64,0,66,44,27.0,79,38,41.0,90,37,54.0
500,15000,250,248.0,263.0,244,9,479,50.94,0,152,94,64.0,163,83,80.0,164,67,104.0
750,15000,250,376.0,408.0,370,11,722,51.25,0,245,154,97.0,245,122,134.0,232,94,145.0
1000,15000,250,499.0,573.0,495,12,969,51.08,0,337,209,135.0,324,158,177.0,308,128,187.0
1250,15000,250,603.0,740.0,639,12,1217,52.51,0,425,266,166.0,400,204,207.0,392,169,230.0
1500,15000,250,715.0,890.0,777,13,1466,53.0,0,517,326,198.0,475,245,242.0,474,206,275.0
1750,15000,250,843.0,1031.0,894,16,1708,52.34,0,601,374,234.0,557,285,285.0,550,235,324.0
2000,15000,250,956.0,1190.0,1025,17,1951,52.54,0,684,428,264.0,632,320,325.0,635,277,367.0
2250,15000,250,1086.0,1325.0,1141,18,2196,51.96,0,775,477,306.0,717,360,371.0,704,304,409.0
2500,15000,250,1219.0,1473.0,1257,20,2443,51.45,0,855,521,342.0,795,393,418.0,793,343,459.0
2750,15000,250,1332.0,1645.0,1389,21,2687,51.69,0,931,571,368.0,884,433,468.0,872,385,496.0
3000,15000,250,1458.0,1786.0,1510,22,2933,51.48,0,1014,618,404.0,963,467,514.0,956,425,540.0
3250,15000,250,1564.0,1965.0,1649,22,3178,51.89,0,1098,671,435.0,1040,510,548.0,1040,468,581.0
3500,15000,250,1679.0,2107.0,1781,24,3421,52.06,0,1190,724,477.0,1121,553,587.0,1110,504,615.0
3750,15000,250,1792.0,2290.0,1924,25,3669,52.44,0,1265,771,505.0,1229,615,641.0,1175,538,646.0
4000,15000,250,1925.0,2430.0,2034,26,3911,52.01,0,1343,807,547.0,1309,657,679.0,1259,570,699.0
4250,15000,250,2059.0,2577.0,2146,26,4157,51.62,0,1427,851,587.0,1400,690,737.0,1330,605,735.0
4500,15000,250,2170.0,2740.0,2284,27,4405,51.85,0,1513,906,618.0,1469,724,773.0,1423,654,779.0
4750,15000,250,2286.0,2918.0,2418,27,4655,51.94,0,1612,958,665.0,1538,760,806.0,1505,700,815.0
5000,15000,250,2406.0,3058.0,2548,27,4905,51.95,0,1682,1003,690.0,1639,805,862.0,1584,740,854.0
5250,15000,250,2533.0,3202.0,2670,27,5154,51.8,0,1772,1049,734.0,1722,847,903.0,1660,774,896.0
5500,15000,250,2642.0,3369.0,2809,28,5401,52.01,0,1865,1108,769.0,1796,881,943.0,1740,820,930.0
5750,15000,250,2743.0,3538.0,2957,28,5650,52.34,0,1958,1169,801.0,1878,925,981.0,1814,863,961.0
6000,15000,250,2864.0,3695.0,3085,29,5898,52.31,0,2044,1218,838.0,1963,968,1024.0,1891,899,1002.0
6250,15000,250,2986.0,3862.0,3213,29,6148,52.26,0,2132,1267,877.0,2039,1005,1063.0,1977,941,1046.0
6500,15000,250,3105.0,3999.0,3341,29,6395,52.24,0,2224,1323,913.0,2113,1034,1108.0,2058,984,1084.0
6750,15000,250,3211.0,4195.0,3485,30,6644,52.45,0,2305,1379,939.0,2207,1082,1154.0,2132,1024,1118.0
7000,15000,250,3321.0,4377.0,3625,31,6893,52.59,0,2394,1436,972.0,2297,1132,1194.0,2202,1057,1155.0
7250,15000,250,3438.0,4564.0,3757,31,7142,52.6,0,2483,1488,1009.0,2379,1169,1239.0,2280,1100,1190.0
7500,15000,250,3548.0,4733.0,3896,31,7391,52.71,0,2557,1528,1043.0,2458,1219,1268.0,2376,1149,1237.0
7750,15000,250,3664.0,4887.0,4028,32,7638,52.74,0,2649,1581,1083.0,2537,1259,1307.0,2452,1188,1274.0
8000,15000,250,3773.0,5054.0,4165,32,7884,52.83,0,2722,1626,1111.0,2630,1309,1350.0,2532,1230,1312.0
8250,15000,250,3886.0,5233.0,4300,33,8131,52.88,0,2792,1670,1137.0,2714,1354,1389.0,2625,1276,1360.0
8500,15000,250,4016.0,5382.0,4419,33,8380,52.73,0,2876,1715,1176.0,2798,1398,1429.0,2706,1306,1411.0
8750,15000,250,4136.0,5535.0,4548,34,8628,52.71,0,2959,1769,1205.0,2876,1430,1475.0,2793,1349,1456.0
9000,15000,250,4249.0,5710.0,4682,34,8875,52.75,0,3046,1821,1240.0,2963,1470,1522.0,2866,1391,1487.0
9250,15000,250,4366.0,5866.0,4814,35,9123,52.77,0,3128,1874,1270.0,3040,1508,1561.0,2955,1432,1535.0
9500,15000,250,4480.0,6037.0,4949,36,9371,52.81,0,3211,1922,1305.0,3126,1549,1606.0,3034,1478,1569.0
9750,15000,250,4595.0,6198.0,5084,36,9621,52.84,0,3295,1967,1344.0,3204,1593,1640.0,3122,1524,1611.0
10000,15000,250,4713.0,6341.0,5214,36,9869,52.83,0,3385,2022,1379.0,3278,1629,1678.0,3206,1563,1656.0
