Claims_Processed,Reference_Budget,Global_Cumulative_Regret,Global_Regret_Bandit,Global_Regret_KnapsackCapacity,Global_Utility_Saved,Global_Frauds_Caught,Global_Missed_Frauds,Global_Audits_Done,Global_Hit_Rate_%,Budget_Overrun,Capacity_Ratio_x,Branch_601_Audits,Branch_601_Caught,Branch_601_Regret,Branch_601_RegretBandit,Branch_601_RegretKnapsackCapacity,Branch_1301_Audits,Branch_1301_Caught,Branch_1301_Regret,Branch_1301_RegretBandit,Branch_1301_RegretKnapsackCapacity,Branch_1108_Audits,Branch_1108_Caught,Branch_1108_Regret,Branch_1108_RegretBandit,Branch_1108_RegretKnapsackCapacity
500,1500,16.0,16.0,0.0,260.0,241,12,465,51.83,0,0.31,151,93,7.0,7.0,0.0,153,81,2.0,2.0,0.0,161,67,7.0,7.0,0.0
1000,1500,20.0,20.0,0.0,578.0,493,14,957,51.52,0,0.64,337,209,7.0,7.0,0.0,316,156,6.0,6.0,0.0,304,128,7.0,7.0,0.0
1500,1500,21.0,21.0,0.0,895.0,775,15,1453,53.34,0,0.97,517,326,7.0,7.0,0.0,467,243,7.0,7.0,0.0,469,206,7.0,7.0,0.0
2000,1500,25.0,25.0,0.0,1195.0,1023,19,1938,52.79,438,1.29,684,428,8.0,8.0,0.0,624,318,8.0,8.0,0.0,630,277,9.0,9.0,0.0
2500,1500,27.0,27.0,0.0,1479.0,1256,21,2430,51.69,930,1.62,855,521,8.0,8.0,0.0,787,392,10.0,10.0,0.0,788,343,9.0,9.0,0.0
3000,1500,29.0,29.0,0.0,1792.0,1509,23,2921,51.66,1421,1.95,1014,618,8.0,8.0,0.0,955,466,12.0,12.0,0.0,952,425,9.0,9.0,0.0
3500,1500,33.0,33.0,0.0,2113.0,1780,25,3411,52.18,1911,2.27,1190,724,11.0,11.0,0.0,1115,552,13.0,13.0,0.0,1106,504,9.0,9.0,0.0
4000,1500,34.0,34.0,0.0,2444.0,2034,26,3902,52.13,2402,2.6,1344,807,11.0,11.0,0.0,1304,657,13.0,13.0,0.0,1254,570,10.0,10.0,0.0
4500,1500,35.0,35.0,0.0,2754.0,2284,27,4397,51.94,2897,2.93,1514,906,11.0,11.0,0.0,1464,724,14.0,14.0,0.0,1419,654,10.0,10.0,0.0
5000,1500,38.0,38.0,0.0,3069.0,2547,28,4895,52.03,3395,3.26,1683,1003,11.0,11.0,0.0,1634,805,14.0,14.0,0.0,1578,739,13.0,13.0,0.0
5500,1500,39.0,39.0,0.0,3380.0,2808,29,5391,52.09,3891,3.59,1866,1108,12.0,12.0,0.0,1791,881,14.0,14.0,0.0,1734,819,13.0,13.0,0.0
6000,1500,40.0,40.0,0.0,3706.0,3084,30,5888,52.38,4388,3.93,2045,1218,12.0,12.0,0.0,1958,968,15.0,15.0,0.0,1885,898,13.0,13.0,0.0
6500,1500,40.0,40.0,0.0,4010.0,3340,30,6385,52.31,4885,4.26,2225,1323,12.0,12.0,0.0,2108,1034,15.0,15.0,0.0,2052,983,13.0,13.0,0.0
7000,1500,42.0,42.0,0.0,4388.0,3624,32,6883,52.65,5383,4.59,2395,1436,14.0,14.0,0.0,2292,1132,15.0,15.0,0.0,2196,1056,13.0,13.0,0.0
7500,1500,42.0,42.0,0.0,4744.0,3895,32,7380,52.78,5880,4.92,2557,1528,14.0,14.0,0.0,2453,1219,15.0,15.0,0.0,2370,1148,13.0,13.0,0.0
8000,1500,43.0,43.0,0.0,5065.0,4164,33,7873,52.89,6373,5.25,2722,1626,15.0,15.0,0.0,2625,1309,15.0,15.0,0.0,2526,1229,13.0,13.0,0.0
8500,1500,44.0,44.0,0.0,5393.0,4418,34,8367,52.8,6867,5.58,2876,1715,15.0,15.0,0.0,2792,1398,15.0,15.0,0.0,2699,1305,14.0,14.0,0.0
9000,1500,45.0,45.0,0.0,5721.0,4681,35,8862,52.82,7362,5.91,3046,1821,15.0,15.0,0.0,2957,1470,15.0,15.0,0.0,2859,1390,15.0,15.0,0.0
9500,1500,48.0,48.0,0.0,6047.0,4947,38,9357,52.87,7857,6.24,3210,1921,17.0,17.0,0.0,3120,1549,15.0,15.0,0.0,3027,1477,16.0,16.0,0.0
10000,1500,48.0,48.0,0.0,6351.0,5212,38,9855,52.89,8355,6.57,3384,2021,17.0,17.0,0.0,3272,1629,15.0,15.0,0.0,3199,1562,16.0,16.0,0.0
