Claims_Processed,Total_Budget,Budget_Per_Branch,Sync_Interval,Global_Cumulative_Regret,Global_Regret_Bandit,Global_Regret_KnapsackCapacity,Global_Regret_Knapsack,Global_Utility_Saved,Global_Frauds_Caught,Global_Missed_Frauds,Global_Audits_Done,Global_Hit_Rate_%,Branch_601_Audits,Branch_601_Caught,Branch_601_ShadowPrice,Branch_601_Regret,Branch_601_RegretBandit,Branch_601_RegretKnapsackCapacity,Branch_601_RegretKnapsack,Branch_1301_Audits,Branch_1301_Caught,Branch_1301_ShadowPrice,Branch_1301_Regret,Branch_1301_RegretBandit,Branch_1301_RegretKnapsackCapacity,Branch_1301_RegretKnapsack,Branch_1108_Audits,Branch_1108_Caught,Branch_1108_ShadowPrice,Branch_1108_Regret,Branch_1108_RegretBandit,Branch_1108_RegretKnapsackCapacity,Branch_1108_RegretKnapsack
500,1500,500,500,377.8527319183365,377.8527319183365,0.0,111.0,165.0,154,99,280,55.0,107,68,4.9909,131.79725432337568,131.79725432337568,0.0,32.0,80,43,3.6151,107.42931482253788,107.42931482253788,0.0,48.0,93,43,4.2632,138.62616277242293,138.62616277242293,0.0,31.0
1000,1500,500,500,732.0205673015317,732.0205673015317,0.0,371.0,227.0,195,312,342,57.02,115,73,4.9953,270.77706909639295,270.77706909639295,0.0,156.0,112,64,4.8561,230.51453244464082,230.51453244464082,0.0,124.0,115,58,5.0515,230.72896576049789,230.72896576049789,0.0,91.0
1500,1500,500,500,1052.8426703363693,1052.8426703363693,0.0,657.0,259.0,223,567,377,59.15,123,78,5.0007,403.6243041763512,403.6243041763512,0.0,274.0,127,77,5.274,336.36648886636,336.36648886636,0.0,220.0,127,68,5.2897,312.8518772936583,312.8518772936583,0.0,163.0
2000,1500,500,500,1367.5960150740657,1367.5960150740657,0.0,941.0,279.0,239,803,399,59.9,127,80,4.8189,516.4089566190705,516.4089566190705,0.0,377.0,135,84,5.3217,443.7353797810575,443.7353797810575,0.0,322.0,137,75,5.3995,407.4516786739377,407.4516786739377,0.0,242.0
2500,1500,500,500,1633.9360512112942,1633.9360512112942,0.0,1168.0,309.0,259,1018,421,61.52,131,83,4.6078,615.2138918154042,615.2138918154042,0.0,442.0,147,95,5.5382,520.2704807219524,520.2704807219524,0.0,393.0,143,81,5.321,498.4516786739377,498.4516786739377,0.0,333.0
3000,1500,500,500,1971.0447845077667,1971.0447845077667,0.0,1372.0,323.0,273,1259,442,61.76,140,90,4.6586,723.4759493096255,723.4759493096255,0.0,444.0,153,98,5.4195,640.8280076447462,640.8280076447462,0.0,497.0,149,85,5.212,606.7408275533951,606.7408275533951,0.0,431.0
3500,1500,500,500,2299.1100299139666,2299.1100299139666,0.0,1481.0,360.0,297,1508,474,62.66,150,96,4.6913,845.3489111327104,845.3489111327104,0.0,440.0,167,111,5.6977,747.4794483290491,747.4794483290491,0.0,535.0,157,90,5.2147,706.2816704522068,706.2816704522068,0.0,506.0
4000,1500,500,500,2608.498505604645,2608.498505604645,0.0,1526.0,392.0,323,1737,502,64.34,156,100,4.5575,937.7373868233884,937.7373868233884,0.0,440.0,179,123,5.8032,886.4794483290491,886.4794483290491,0.0,569.0,167,100,5.296,784.2816704522068,784.2816704522068,0.0,517.0
4500,1500,500,500,2931.1002192115902,2931.1002192115902,0.0,1558.0,420.0,343,1968,530,64.72,168,107,4.6591,1054.8665500590032,1054.8665500590032,0.0,435.0,185,128,5.6535,990.2207532727294,990.2207532727294,0.0,599.0,177,108,5.319,886.0129158798569,886.0129158798569,0.0,524.0
5000,1500,500,500,3239.712856704917,3239.712856704917,0.0,1589.0,443.0,362,2213,552,65.58,176,112,4.5334,1164.47918755233,1164.47918755233,0.0,434.0,192,135,5.4951,1095.2207532727293,1095.2207532727293,0.0,623.0,184,115,5.1802,980.0129158798569,980.0129158798569,0.0,532.0
5500,1500,500,500,3545.6291684055627,3545.6291684055627,0.0,1609.0,473.0,388,2449,583,66.55,191,124,4.6672,1271.9520269827124,1271.9520269827124,0.0,422.0,202,144,5.494,1200.6501664125449,1200.6501664125449,0.0,647.0,190,120,4.9549,1073.0269750103046,1073.0269750103046,0.0,540.0
6000,1500,500,500,3842.1812044956687,3842.1812044956687,0.0,1609.0,523.0,423,2691,622,68.01,201,132,4.5225,1391.9496391407906,1391.9496391407906,0.0,423.0,220,161,5.8194,1301.2793572589742,1301.2793572589742,0.0,654.0,201,130,4.9593,1148.9522080959034,1148.9522080959034,0.0,532.0
6500,1500,500,500,4141.757878453495,4141.757878453495,0.0,1625.0,555.0,451,2919,656,68.75,216,144,4.5664,1507.1241973182193,1507.1241973182193,0.0,420.0,228,169,5.6625,1377.2793572589742,1377.2793572589742,0.0,664.0,212,138,4.8501,1257.354323876302,1257.354323876302,0.0,541.0
7000,1500,500,500,4496.7310835389835,4496.7310835389835,0.0,1684.0,590.0,480,3176,687,69.87,229,156,4.4789,1616.6964107488934,1616.6964107488934,0.0,410.0,235,175,5.2517,1513.6803489137878,1513.6803489137878,0.0,697.0,223,149,4.771,1366.354323876302,1366.354323876302,0.0,577.0
7500,1500,500,500,4843.527290592146,4843.527290592146,0.0,1718.0,641.0,519,3408,735,70.61,247,170,4.5972,1714.5848609952805,1714.5848609952805,0.0,398.0,254,193,5.4436,1636.8780563936925,1636.8780563936925,0.0,728.0,234,156,4.4573,1492.064373203173,1492.064373203173,0.0,592.0
8000,1500,500,500,5166.940738723291,5166.940738723291,0.0,1735.0,676.0,552,3645,776,71.13,261,181,4.3865,1823.926127694447,1823.926127694447,0.0,395.0,264,202,4.9943,1745.312293895474,1745.312293895474,0.0,741.0,251,169,4.3962,1597.7023171333715,1597.7023171333715,0.0,599.0
8500,1500,500,500,5499.693011479599,5499.693011479599,0.0,1742.0,743.0,594,3858,834,71.22,277,192,4.1595,1931.4906529860095,1931.4906529860095,0.0,392.0,284,220,4.8857,1859.1710967582849,1859.1710967582849,0.0,756.0,273,182,4.3026,1709.0312617353052,1709.0312617353052,0.0,594.0
9000,1500,500,500,5822.533872640647,5822.533872640647,0.0,1732.0,818.0,648,4068,904,71.68,305,212,4.1049,2069.503761244279,2069.503761244279,0.0,390.0,302,235,4.3898,1941.1652396705065,1941.1652396705065,0.0,752.0,297,201,4.1014,1811.8648717258625,1811.8648717258625,0.0,590.0
9500,1500,500,500,6136.42268609898,6136.42268609898,0.0,1683.0,927.0,728,4257,1007,72.29,338,241,3.7127,2160.3579159064134,2160.3579159064134,0.0,363.0,332,258,3.8605,2046.447230274988,2046.447230274988,0.0,749.0,337,229,3.9401,1929.6175399175797,1929.6175399175797,0.0,571.0
10000,1500,500,500,6488.9539938518965,6488.9539938518965,0.0,1554.0,1095.0,872,4378,1231,70.84,419,295,0.0,2285.2690695009655,2285.2690695009655,0.0,311.0,404,305,0.0,2158.50600635006,2158.50600635006,0.0,709.0,408,272,0.0,2045.1789180008702,2045.1789180008702,0.0,534.0
