Claims_Processed,N_Warmup,N_Live_Total,Total_Budget,Budget_Per_Branch,Sync_Interval,Global_Cumulative_Regret,Global_Utility_Saved,Global_Frauds_Caught,Global_Missed_Frauds,Global_Audits_Done,Global_Hit_Rate_%,Branch_601_Audits,Branch_601_Caught,Branch_601_ShadowPrice,Branch_1301_Audits,Branch_1301_Caught,Branch_1301_ShadowPrice,Branch_1108_Audits,Branch_1108_Caught,Branch_1108_ShadowPrice
500,0,13234,50000,16666,500,234.0,225.0,210,43,393,53.44,137,87,0.0,121,68,0.0,135,55,0.0
1000,0,13234,50000,16666,500,461.0,536.0,455,52,854,53.28,310,200,0.0,272,142,0.0,272,113,0.0
1500,0,13234,50000,16666,500,672.0,846.0,730,60,1332,54.8,485,315,0.0,420,228,0.0,427,187,0.0
2000,0,13234,50000,16666,500,900.0,1144.0,976,66,1800,54.22,642,415,0.0,575,303,0.0,583,258,0.0
2500,0,13234,50000,16666,500,1155.0,1425.0,1206,71,2280,52.89,808,506,0.0,734,376,0.0,738,324,0.0
3000,0,13234,50000,16666,500,1394.0,1732.0,1453,79,2758,52.68,964,601,0.0,897,447,0.0,897,405,0.0
3500,0,13234,50000,16666,500,1608.0,2050.0,1721,84,3233,53.23,1138,706,0.0,1048,532,0.0,1047,483,0.0
4000,0,13234,50000,16666,500,1852.0,2367.0,1968,92,3709,53.06,1287,787,0.0,1231,634,0.0,1191,547,0.0
4500,0,13234,50000,16666,500,2094.0,2669.0,2214,97,4188,52.87,1456,886,0.0,1387,700,0.0,1345,628,0.0
5000,0,13234,50000,16666,500,2326.0,2981.0,2474,101,4674,52.93,1620,981,0.0,1553,780,0.0,1501,713,0.0
5500,0,13234,50000,16666,500,2554.0,3291.0,2734,103,5160,52.98,1801,1086,0.0,1706,855,0.0,1653,793,0.0
6000,0,13234,50000,16666,500,2770.0,3615.0,3008,106,5647,53.27,1979,1196,0.0,1868,940,0.0,1800,872,0.0
6500,0,13234,50000,16666,500,3001.0,3917.0,3262,108,6130,53.21,2156,1301,0.0,2012,1006,0.0,1962,955,0.0
7000,0,13234,50000,16666,500,3211.0,4295.0,3546,110,6622,53.55,2322,1414,0.0,2195,1104,0.0,2105,1028,0.0
7500,0,13234,50000,16666,500,3435.0,4648.0,3814,113,7111,53.64,2481,1504,0.0,2354,1190,0.0,2276,1120,0.0
8000,0,13234,50000,16666,500,3658.0,4968.0,4082,115,7600,53.71,2645,1602,0.0,2526,1280,0.0,2429,1200,0.0
8500,0,13234,50000,16666,500,3894.0,5295.0,4335,117,8087,53.6,2797,1691,0.0,2691,1368,0.0,2599,1276,0.0
9000,0,13234,50000,16666,500,4123.0,5621.0,4596,120,8574,53.6,2965,1796,0.0,2853,1439,0.0,2756,1361,0.0
9500,0,13234,50000,16666,500,4350.0,5947.0,4862,123,9064,53.64,3126,1896,0.0,3014,1518,0.0,2924,1448,0.0
10000,0,13234,50000,16666,500,4576.0,6251.0,5127,123,9555,53.66,3298,1996,0.0,3166,1598,0.0,3091,1533,0.0
10500,0,13234,50000,16666,500,4796.0,6585.0,5401,125,10047,53.76,3459,2099,0.0,3332,1687,0.0,3256,1615,0.0
11000,0,13234,50000,16666,500,5021.0,6918.0,5663,127,10532,53.77,3614,2203,0.0,3499,1765,0.0,3419,1695,0.0
11500,0,13234,50000,16666,500,5266.0,7208.0,5910,132,11019,53.63,3783,2300,0.0,3655,1843,0.0,3581,1767,0.0
12000,0,13234,50000,16666,500,5503.0,7535.0,6167,134,11511,53.57,3943,2397,0.0,3821,1926,0.0,3747,1844,0.0
12500,0,13234,50000,16666,500,5741.0,7863.0,6419,136,11999,53.5,4087,2478,0.0,3999,2023,0.0,3913,1918,0.0
13000,0,13234,50000,16666,500,5951.0,8197.0,6698,137,12487,53.64,4262,2583,0.0,4145,2110,0.0,4080,2005,0.0
