Claims_Processed,N_Warmup,N_Live_Total,Total_Budget,Budget_Per_Branch,Sync_Interval,Global_Cumulative_Regret,Global_Utility_Saved,Global_Frauds_Caught,Global_Missed_Frauds,Global_Audits_Done,Global_Hit_Rate_%,Branch_601_Audits,Branch_601_Caught,Branch_601_ShadowPrice,Branch_601_Regret,Branch_1301_Audits,Branch_1301_Caught,Branch_1301_ShadowPrice,Branch_1301_Regret,Branch_1108_Audits,Branch_1108_Caught,Branch_1108_ShadowPrice,Branch_1108_Regret
250,1000,13234,3000,1000,250,112.0,104.0,95,30,177,53.67,58,41,2.1179,25.0,54,27,1.7592,38.0,65,27,2.1846,49.0
500,1000,13234,3000,1000,250,219.0,183.0,170,83,296,57.43,101,69,3.2592,63.0,99,57,3.0571,74.0,96,44,2.8618,82.0
750,1000,13234,3000,1000,250,334.0,250.0,224,157,376,59.57,129,90,3.5937,113.0,127,76,3.4824,116.0,120,58,3.2684,105.0
1000,1000,13234,3000,1000,250,442.0,336.0,279,228,459,60.78,160,116,4.0783,148.0,154,90,3.9256,153.0,145,73,3.657,141.0
1250,1000,13234,3000,1000,250,582.0,384.0,323,328,524,61.64,182,131,4.1695,201.0,177,106,4.2029,201.0,165,86,3.7049,180.0
1500,1000,13234,3000,1000,250,682.0,445.0,378,412,589,64.18,207,154,4.3767,240.0,193,122,4.1415,233.0,189,102,3.9755,209.0
1750,1000,13234,3000,1000,250,812.0,479.0,410,500,641,63.96,222,164,4.1747,283.0,213,136,4.2007,279.0,206,110,3.8847,250.0
2000,1000,13234,3000,1000,250,950.0,524.0,444,598,698,63.61,239,176,4.0726,333.0,229,145,4.1506,323.0,230,123,4.0533,294.0
2250,1000,13234,3000,1000,250,1066.0,560.0,478,681,748,63.9,259,191,4.0298,374.0,249,159,4.1759,360.0,240,128,3.7372,332.0
2500,1000,13234,3000,1000,250,1180.0,613.0,521,756,808,64.48,275,203,3.923,412.0,267,173,4.1691,387.0,266,145,4.0171,381.0
2750,1000,13234,3000,1000,250,1324.0,655.0,556,854,856,64.95,290,215,3.8116,460.0,283,184,3.9377,430.0,283,157,3.9263,434.0
3000,1000,13234,3000,1000,250,1446.0,694.0,588,944,907,64.83,312,231,3.9709,499.0,294,189,3.5469,475.0,301,168,3.8742,472.0
3250,1000,13234,3000,1000,250,1571.0,768.0,636,1035,975,65.23,334,247,4.1074,542.0,317,205,3.7902,523.0,324,184,4.0608,506.0
3500,1000,13234,3000,1000,250,1692.0,811.0,675,1130,1032,65.41,357,264,4.2033,587.0,340,220,3.9541,564.0,335,191,3.8174,541.0
3750,1000,13234,3000,1000,250,1838.0,870.0,721,1228,1092,66.03,373,276,4.1419,626.0,368,241,4.1186,632.0,351,204,3.8807,580.0
4000,1000,13234,3000,1000,250,1945.0,916.0,754,1306,1137,66.31,384,284,3.7738,659.0,385,255,4.0618,674.0,368,215,3.7219,612.0
4250,1000,13234,3000,1000,250,2062.0,967.0,792,1380,1196,66.22,405,296,3.8717,700.0,406,269,4.0577,718.0,385,227,3.7445,644.0
4500,1000,13234,3000,1000,250,2186.0,1026.0,838,1473,1261,66.46,430,317,4.147,740.0,418,276,3.8643,757.0,413,245,4.079,689.0
4750,1000,13234,3000,1000,250,2317.0,1084.0,881,1564,1315,67.0,449,330,3.9749,787.0,437,291,4.0323,798.0,429,260,3.9496,732.0
5000,1000,13234,3000,1000,250,2432.0,1127.0,920,1655,1372,67.06,466,341,4.0314,827.0,456,304,3.8375,840.0,450,275,4.1042,765.0
5250,1000,13234,3000,1000,250,2535.0,1179.0,968,1729,1431,67.65,487,357,4.0613,862.0,479,323,4.0467,878.0,465,288,3.9814,795.0
