Claims_Processed,N_Warmup,N_Live_Total,Total_Budget,Log_Interval,Cumulative_Regret,Total_Utility_Saved,Frauds_Caught,Missed_Frauds,Audits_Done,Budget_Left,Shadow_Price,Hit_Rate_%
500,50000,100000,Unlimited,500,246.0,302.0,251,0,497,N/A,0.0,50.5
1000,50000,100000,Unlimited,500,497.0,621.0,498,1,994,N/A,0.0,50.1
1500,50000,100000,Unlimited,500,760.0,950.0,732,3,1489,N/A,0.0,49.16
2000,50000,100000,Unlimited,500,1012.0,1285.0,978,5,1985,N/A,0.0,49.27
2500,50000,100000,Unlimited,500,1237.0,1637.0,1248,8,2477,N/A,0.0,50.38
3000,50000,100000,Unlimited,500,1479.0,1985.0,1502,8,2973,N/A,0.0,50.52
3500,50000,100000,Unlimited,500,1728.0,2316.0,1753,8,3473,N/A,0.0,50.48
4000,50000,100000,Unlimited,500,1967.0,2649.0,2010,9,3968,N/A,0.0,50.66
4500,50000,100000,Unlimited,500,2239.0,2948.0,2234,9,4464,N/A,0.0,50.04
5000,50000,100000,Unlimited,500,2489.0,3248.0,2481,10,4960,N/A,0.0,50.02
5500,50000,100000,Unlimited,500,2717.0,3614.0,2751,12,5454,N/A,0.0,50.44
6000,50000,100000,Unlimited,500,2960.0,3971.0,3008,13,5953,N/A,0.0,50.53
6500,50000,100000,Unlimited,500,3194.0,4304.0,3273,15,6448,N/A,0.0,50.76
7000,50000,100000,Unlimited,500,3436.0,4639.0,3529,15,6946,N/A,0.0,50.81
7500,50000,100000,Unlimited,500,3684.0,4970.0,3780,15,7445,N/A,0.0,50.77
8000,50000,100000,Unlimited,500,3941.0,5273.0,4022,15,7944,N/A,0.0,50.63
8500,50000,100000,Unlimited,500,4202.0,5599.0,4257,15,8440,N/A,0.0,50.44
9000,50000,100000,Unlimited,500,4449.0,5921.0,4509,15,8939,N/A,0.0,50.44
9500,50000,100000,Unlimited,500,4722.0,6196.0,4735,15,9438,N/A,0.0,50.17
10000,50000,100000,Unlimited,500,4979.0,6528.0,4973,15,9933,N/A,0.0,50.07
10500,50000,100000,Unlimited,500,5242.0,6847.0,5207,15,10430,N/A,0.0,49.92
11000,50000,100000,Unlimited,500,5500.0,7151.0,5447,15,10928,N/A,0.0,49.84
11500,50000,100000,Unlimited,500,5743.0,7483.0,5706,16,11427,N/A,0.0,49.93
12000,50000,100000,Unlimited,500,6001.0,7801.0,5943,16,11922,N/A,0.0,49.85
12500,50000,100000,Unlimited,500,6278.0,8118.0,6162,16,12418,N/A,0.0,49.62
13000,50000,100000,Unlimited,500,6524.0,8491.0,6414,17,12913,N/A,0.0,49.67
13500,50000,100000,Unlimited,500,6759.0,8867.0,6676,17,13410,N/A,0.0,49.78
14000,50000,100000,Unlimited,500,7017.0,9186.0,6912,17,13904,N/A,0.0,49.71
14500,50000,100000,Unlimited,500,7262.0,9518.0,7167,17,14404,N/A,0.0,49.76
15000,50000,100000,Unlimited,500,7498.0,9865.0,7429,18,14901,N/A,0.0,49.86
15500,50000,100000,Unlimited,500,7760.0,10197.0,7665,18,15399,N/A,0.0,49.78
16000,50000,100000,Unlimited,500,7990.0,10571.0,7934,18,15898,N/A,0.0,49.91
16500,50000,100000,Unlimited,500,8250.0,10890.0,8171,18,16395,N/A,0.0,49.84
17000,50000,100000,Unlimited,500,8508.0,11196.0,8408,19,16889,N/A,0.0,49.78
17500,50000,100000,Unlimited,500,8769.0,11491.0,8647,19,17389,N/A,0.0,49.73
18000,50000,100000,Unlimited,500,9015.0,11823.0,8897,19,17885,N/A,0.0,49.75
18500,50000,100000,Unlimited,500,9244.0,12170.0,9165,21,18380,N/A,0.0,49.86
19000,50000,100000,Unlimited,500,9497.0,12524.0,9412,22,18879,N/A,0.0,49.85
19500,50000,100000,Unlimited,500,9735.0,12854.0,9669,24,19372,N/A,0.0,49.91
20000,50000,100000,Unlimited,500,9965.0,13203.0,9936,24,19869,N/A,0.0,50.01
20500,50000,100000,Unlimited,500,10201.0,13576.0,10197,24,20366,N/A,0.0,50.07
21000,50000,100000,Unlimited,500,10455.0,13935.0,10439,25,20861,N/A,0.0,50.04
21500,50000,100000,Unlimited,500,10692.0,14275.0,10699,25,21358,N/A,0.0,50.09
22000,50000,100000,Unlimited,500,10943.0,14594.0,10944,26,21853,N/A,0.0,50.08
22500,50000,100000,Unlimited,500,11189.0,14917.0,11196,26,22351,N/A,0.0,50.09
23000,50000,100000,Unlimited,500,11438.0,15270.0,11444,27,22847,N/A,0.0,50.09
23500,50000,100000,Unlimited,500,11693.0,15605.0,11687,29,23343,N/A,0.0,50.07
24000,50000,100000,Unlimited,500,11942.0,15904.0,11935,29,23840,N/A,0.0,50.06
24500,50000,100000,Unlimited,500,12205.0,16216.0,12170,30,24337,N/A,0.0,50.01
25000,50000,100000,Unlimited,500,12449.0,16561.0,12422,30,24833,N/A,0.0,50.02
25500,50000,100000,Unlimited,500,12718.0,16893.0,12658,33,25328,N/A,0.0,49.98
26000,50000,100000,Unlimited,500,12980.0,17209.0,12892,33,25824,N/A,0.0,49.92
26500,50000,100000,Unlimited,500,13243.0,17549.0,13128,34,26322,N/A,0.0,49.87
27000,50000,100000,Unlimited,500,13492.0,17864.0,13375,36,26816,N/A,0.0,49.88
27500,50000,100000,Unlimited,500,13761.0,18175.0,13603,37,27312,N/A,0.0,49.81
28000,50000,100000,Unlimited,500,13992.0,18540.0,13866,37,27806,N/A,0.0,49.87
28500,50000,100000,Unlimited,500,14238.0,18890.0,14116,37,28302,N/A,0.0,49.88
29000,50000,100000,Unlimited,500,14500.0,19194.0,14352,39,28798,N/A,0.0,49.84
29500,50000,100000,Unlimited,500,14761.0,19503.0,14587,39,29294,N/A,0.0,49.8
30000,50000,100000,Unlimited,500,14996.0,19857.0,14848,40,29789,N/A,0.0,49.84
30500,50000,100000,Unlimited,500,15238.0,20208.0,15104,42,30285,N/A,0.0,49.87
