Claims_Processed,N_Warmup,N_Live_Total,Total_Budget,Log_Interval,Cumulative_Regret,Total_Utility_Saved,Frauds_Caught,Missed_Frauds,Audits_Done,Budget_Left,Shadow_Price,Hit_Rate_%
500,50000,100000,50000,500,193.0,237.0,186,65,314,49686,3.2,59.24
1000,50000,100000,50000,500,407.0,449.0,326,173,560,49440,3.0,58.21
1500,50000,100000,50000,500,600.0,691.0,473,262,811,49189,3.05,58.32
2000,50000,100000,50000,500,807.0,926.0,619,364,1062,48938,3.1,58.29
2500,50000,100000,50000,500,1001.0,1172.0,783,473,1311,48689,3.05,59.73
3000,50000,100000,50000,500,1217.0,1410.0,927,583,1561,48439,3.05,59.39
3500,50000,100000,50000,500,1407.0,1645.0,1082,679,1810,48190,3.0,59.78
4000,50000,100000,50000,500,1610.0,1874.0,1235,784,2061,47939,3.05,59.92
4500,50000,100000,50000,500,1823.0,2079.0,1365,878,2310,47690,3.0,59.09
5000,50000,100000,50000,500,2013.0,2286.0,1519,972,2560,47440,3.0,59.34
5500,50000,100000,50000,500,2216.0,2544.0,1681,1082,2813,47187,3.15,59.76
6000,50000,100000,50000,500,2425.0,2793.0,1830,1191,3062,46938,3.1,59.76
6500,50000,100000,50000,500,2628.0,3018.0,1987,1301,3310,46690,3.0,60.03
7000,50000,100000,50000,500,2831.0,3250.0,2142,1402,3565,46435,3.25,60.08
7500,50000,100000,50000,500,3033.0,3481.0,2293,1502,3818,46182,3.4,60.06
8000,50000,100000,50000,500,3226.0,3688.0,2439,1598,4061,45939,3.05,60.06
8500,50000,100000,50000,500,3429.0,3920.0,2580,1692,4311,45689,3.05,59.85
9000,50000,100000,50000,500,3652.0,4128.0,2718,1806,4558,45442,2.9,59.63
9500,50000,100000,50000,500,3869.0,4306.0,2854,1896,4814,45186,3.2,59.29
10000,50000,100000,50000,500,4084.0,4535.0,2989,1999,5061,44939,3.05,59.06
10500,50000,100000,50000,500,4288.0,4760.0,3131,2091,5313,44687,3.15,58.93
11000,50000,100000,50000,500,4500.0,4961.0,3275,2187,5566,44434,3.3,58.84
11500,50000,100000,50000,500,4716.0,5179.0,3422,2300,5812,44188,3.1,58.88
12000,50000,100000,50000,500,4923.0,5400.0,3562,2397,6062,43938,3.1,58.76
12500,50000,100000,50000,500,5142.0,5621.0,3685,2493,6308,43692,2.9,58.42
13000,50000,100000,50000,500,5354.0,5890.0,3833,2598,6561,43439,3.05,58.42
13500,50000,100000,50000,500,5562.0,6155.0,3986,2707,6811,43189,3.05,58.52
14000,50000,100000,50000,500,5772.0,6374.0,4122,2807,7057,42943,2.85,58.41
14500,50000,100000,50000,500,5987.0,6597.0,4268,2916,7309,42691,2.95,58.39
15000,50000,100000,50000,500,6197.0,6832.0,4420,3027,7558,42442,2.9,58.48
15500,50000,100000,50000,500,6410.0,7062.0,4558,3125,7807,42193,2.85,58.38
16000,50000,100000,50000,500,6617.0,7324.0,4722,3230,8066,41934,3.3,58.54
16500,50000,100000,50000,500,6830.0,7537.0,4857,3332,8308,41692,2.9,58.46
17000,50000,100000,50000,500,7052.0,7739.0,4990,3437,8558,41442,2.9,58.31
17500,50000,100000,50000,500,7268.0,7932.0,5129,3537,8811,41189,3.05,58.21
18000,50000,100000,50000,500,7493.0,8151.0,5268,3648,9062,40938,3.1,58.13
18500,50000,100000,50000,500,7705.0,8384.0,5422,3764,9312,40688,3.1,58.23
19000,50000,100000,50000,500,7905.0,8636.0,5569,3865,9556,40444,2.8,58.28
19500,50000,100000,50000,500,8114.0,8859.0,5721,3972,9808,40192,2.9,58.33
20000,50000,100000,50000,500,8315.0,9101.0,5881,4079,10062,39938,3.1,58.45
20500,50000,100000,50000,500,8525.0,9362.0,6032,4189,10311,39689,3.05,58.5
21000,50000,100000,50000,500,8733.0,9622.0,6175,4289,10562,39438,3.1,58.46
21500,50000,100000,50000,500,8945.0,9852.0,6325,4399,10814,39186,3.2,58.49
22000,50000,100000,50000,500,9153.0,10069.0,6468,4502,11062,38938,3.1,58.47
22500,50000,100000,50000,500,9375.0,10276.0,6613,4609,11313,38687,3.15,58.45
23000,50000,100000,50000,500,9608.0,10509.0,6748,4723,11560,38440,3.0,58.37
23500,50000,100000,50000,500,9806.0,10749.0,6896,4820,11809,38191,2.95,58.4
24000,50000,100000,50000,500,10017.0,10944.0,7040,4924,12060,37940,3.0,58.37
24500,50000,100000,50000,500,10206.0,11167.0,7188,5012,12307,37693,2.85,58.41
25000,50000,100000,50000,500,10418.0,11409.0,7337,5115,12565,37435,3.25,58.39
25500,50000,100000,50000,500,10629.0,11645.0,7479,5212,12812,37188,3.1,58.37
26000,50000,100000,50000,500,10838.0,11863.0,7615,5310,13059,36941,2.95,58.31
26500,50000,100000,50000,500,11055.0,12104.0,7752,5410,13313,36687,3.15,58.23
27000,50000,100000,50000,500,11270.0,12312.0,7894,5517,13561,36439,3.05,58.21
27500,50000,100000,50000,500,11480.0,12528.0,8029,5611,13810,36190,3.0,58.14
28000,50000,100000,50000,500,11677.0,12789.0,8190,5713,14064,35936,3.2,58.23
